"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"P735","Class 10","GSM 900 / 1800 / 1900","Yes, 384 kbps","UMTS 2100","No","GSM / UMTS","Discontinued","Mini-SIM","","2007, January","109 x 59 x 19 mm (4.29 x 2.32 x 0.75 in)","143 g (5.04 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT resistive touchscreen, 65K colors","2.8 inches (~37.8% screen-to-body ratio)","","Microsoft Windows Mobile 5.0 PocketPC","Intel XScale 520 MHz","","256 MB, 64 MB RAM","miniSD","VGA videocall camera","Yes","2 MP, autofocus, LED flash","","No","No","Vibration; Downloadable polyphonic, Midi, MP3 ringtones","Wi-Fi 802.11b/g","1.1","","2.0","No","No","SMS, MMS, Email, Instant Messaging","","Yes, MIDP 2.0","WAP 1.2.1/2.0","","","","<a href=""#"">7/10</a>","Silver","","","","","","","","","","","","","","","","","","Asus","","","","","109","19","59","143","5.04","","","240","320","143","2","2.8","37.8"
"P750","Class 10","GSM 900 / 1800 / 1900","HSPA 3.6/0.384 Mbps","HSDPA 2100","Class 10","GSM / HSPA","Discontinued","Mini-SIM","","2007, October. Released 2008, April","113 x 58 x 17.4 mm (4.45 x 2.28 x 0.69 in)","130 g (4.59 oz)","240 x 320 pixels (~154 ppi pixel density)","","TFT resistive touchscreen, 65K colors","2.6 inches (~31.9% screen-to-body ratio)","","Microsoft Windows Mobile 6.0 Professional","Marvell PXA270M 520 MHz","","64 MB RAM, 256 MB ROM","microSD (dedicated slot)","VGA videocall camera","Yes","3.15 MP, autofocus","","","No","Vibration; Downloadable polyphonic, MP3 ringtones","Wi-Fi 802.11 b/g","1.1","","2.0, A2DP","No","Yes, SiRF Star III chipset","SMS, MMS, Email, Push E-Mail, MSN","","Yes, MIDP 2.0","WAP 1.2.1/2.0, HTML","Up to 240 h","Removable Li-Ion 1300 mAh battery","","<a href=""#"">7/10</a>","Black","","","","","","","","","","","","","","","","","","Asus","","","","","113","17.4","58","130","4.59","","","240","320","154","3","2.6","31.9"
"P835","Class 12","GSM 850 / 900 / 1800 / 1900","HSPA 7.2/2 Mbps","HSDPA 900 / 1900 / 2100","Class 12","GSM / HSPA","Discontinued","Mini-SIM","","2009, March. Released 2009, May","115 x 59 x 13.8 mm (4.53 x 2.32 x 0.54 in)","148 g (5.22 oz)","480 x 800 pixels (~267 ppi pixel density)","","TFT resistive touchscreen, 65K colors","3.5 inches (~51.4% screen-to-body ratio)","Qualcomm MSM7201A","Microsoft Windows Mobile 6.1 Professional","528 MHz ARM 11","","4 GB, 288 MB RAM, 256 MB ROM","microSD, up to 16 GB (dedicated slot)","Yes","Yes","5 MP, autofocus","","Yes","No","Vibration; Downloadable polyphonic, MP3 ringtones","Wi-Fi 802.11b/g","2.0","","2.0, A2DP","No","Yes, with A-GPS","SMS (threaded view), EMS, MMS, Email","","Yes, MIDP 2.0","WAP 2.0/xHTML, HTML (IE), RSS reader","Up to 350 h","Removable Li-Ion 1100 mAh battery","","<a href=""#"">7/10</a>","Black","","","","","","","","","","","","","","","","","","Asus","","","","","115","13.8","59","148","5.22","","16","480","800","267","5","3.5","51.4"
"PadFone 2","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","GSM 850 / 900 / 1800 / 1900","LTE band 3(1800), 7(2600), 20(800)","HSDPA 850 / 900 / 1700 / 1900 / 2100","Class 10","GSM / HSPA / LTE","Available. Released 2012, December","Micro-SIM","HSDPA 900 / 2100","2012, October","137.9 x 68.9 x 9 mm (5.43 x 2.71 x 0.35 in)","135 g (4.76 oz)","720 x 1280 pixels (~312 ppi pixel density)","Yes","Super IPS+ LCD capacitive touchscreen, 16M colors","4.7 inches (~64.1% screen-to-body ratio)","Qualcomm APQ8064 Snapdragon S4 Pro","Android 4.0 (Ice Cream Sandwich), upgradable to 4.4.2 (KitKat)","Quad-core 1.5 GHz Krait","Adreno 320","16/32/64 GB, 2 GB RAM","No","1.2 MP, 720p","1080p@30fps, 720p@60fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","microUSB 2.0 (MHL TV-out), USB Host","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 352 h","Non-removable Li-Ion 2140 mAh battery","","<a href=""#"">8/10</a>","Black, White","","","","","","","","","","","Corning Gorilla Glass","","Yes","","","","","Asus","16","2","30","1080","137.9","9","68.9","135","4.76","1","","720","1280","312","13","4.7","64.1"
"PadFone","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2012, June","Mini-SIM","","2012, February","128 x 65.4 x 9.2 mm (5.04 x 2.57 x 0.36 in)","129 g (4.55 oz)","540 x 960 pixels (~256 ppi pixel density)","Yes","Super AMOLED capacitive touchscreen, 16M colors","4.3 inches (~60.9% screen-to-body ratio)","Qualcomm MSM8260A Snapdragon S4 Plus","Android 4.0 (Ice Cream Sandwich), upgradeable to 4.1 (Jelly Bean)","Dual-core 1.5 GHz Krait","Adreno 225","16/32/64 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","1080p","8 MP, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","Yes","No","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5, Adobe Flash","Up to 360 h (2G) / Up to 370 h (3G)","Removable Li-Ion 1520 mAh battery","","<a href=""#"">6/10</a>","Black","","","","","","","","","","","Corning Gorilla Glass","","","","","","","Asus","16","1","","","128","9.2","65.4","129","4.55","","32","540","960","256","8","4.3","60.9"
"PadFone E","Yes","GSM 850 / 900 / 1800 / 1900","HSPA","HSDPA 850 / 900 / 1900 / 2100","Yes","GSM / HSPA","Available. Released 2014, March","Dual SIM (dual stand-by)","","2014, January","139.6 x 69.7 x 9.1 mm (5.50 x 2.74 x 0.36 in)","126 g (4.44 oz)","720 x 1280 pixels (~312 ppi pixel density)","Yes","Super IPS LCD capacitive touchscreen, 16M colors","4.7 inches (~62.6% screen-to-body ratio)","Qualcomm Snapdragon 400","Android 4.3 (Jelly Bean)","Quad-core 1.4 GHz Cortex-A7","Adreno 305","1 GB RAM","microSD, up to 64 GB (dedicated slot)","1.2 MP, 720p","1080p@30fps, 720p@60fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","4.0, A2DP","To be confirmed","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML5","Up to 270 h (2G) / Up to 330 h (3G)","Non-removable Li-Ion 1820 mAh battery","","<a href=""#"">6/10</a>","Black, White","","","","","","","","","","","Corning Gorilla Glass","","","","","","","Asus","","","30","1080","139.6","9.1","69.7","126","4.44","1","64","720","1280","312","13","4.7","62.6"
"PadFone Infinity 2","Class 10","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","HSDPA 850 / 900 / 1900 / 2100","Class 10","GSM / HSPA / LTE","Available. Released 2013, October","Nano-SIM","LTE band 3(1800), 7(2600), 20(800)","2013, September","143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in)","145 g (5.11 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes, up to 10 fingers","Super IPS+ LCD capacitive touchscreen, 16M colors","5.0 inches (~66.0% screen-to-body ratio)","Qualcomm Snapdragon 800","Android 4.2.2 (Jelly Bean), upgradable to 5.0 (Lollipop)","Quad-core 2.2 GHz Krait 400","Adreno 330","16/32 GB, 2 GB RAM","microSD, up to 64 GB (dedicated slot)","2 MP, 1080p@30fps","1080p@30fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","microUSB 2.0 (SlimPort TV-out), USB Host","","4.0, A2DP","FM radio","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 410 h (3G)","Non-removable Li-Po 2400 mAh battery","","<a href=""#"">9/10</a>","Titanium Black, Platinum White","","","","","","","","","","","Corning Gorilla Glass","","Yes","","","","","Asus","16","2","30","1080","143.5","8.9","72.8","145","5.11","2","64","1080","1920","441","13","5.0","66.0"
"PadFone Infinity","Class 10","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","HSDPA 900 / 2100","Class 10","GSM / HSPA / LTE","Available. Released 2013, April","Nano-SIM","LTE band 1(2100), 3(1800), 7(2600), 20(800)","2013, February","143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in)","141 g (4.97 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes, up to 10 fingers","Super IPS+ LCD capacitive touchscreen, 16M colors","5.0 inches (~66.0% screen-to-body ratio)","Qualcomm APQ8064T Snapdragon 600","Android 4.1.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)","Quad-core 1.7 GHz Krait","Adreno 320","32/64 GB, 2 GB RAM","No","2 MP, 1080p@30fps","1080p@30fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","microUSB 2.0 (SlimPort TV-out), USB Host","","4.0, A2DP","FM radio","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 410 h","Non-removable Li-Po 2400 mAh battery","","<a href=""#"">9/10</a>","Titanium Gray, Champagne Gold, Hot Pink","","","","","","","","","","","Corning Gorilla Glass","","Yes","","","","","Asus","32","2","30","1080","143.5","8.9","72.8","141","4.97","2","","1080","1920","441","13","5.0","66.0"
"PadFone Infinity Lite","Class 10","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","HSDPA 850 / 900 / 1900 / 2100","Class 10","GSM / HSPA / LTE","Available. Released 2014, March","Yes","LTE band 3(1800), 7(2600), 20(800)","2014, February","143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in)","145 g (5.11 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes, up to 10 fingers","Super IPS+ LCD capacitive touchscreen, 16M colors","5.0 inches (~66.0% screen-to-body ratio)","Qualcomm Snapdragon 600","Android 4.1 (Jelly Bean)","Quad-core 1.7 GHz Krait","Adreno 320","16/32 GB, 2 GB RAM","microSD, up to 64 GB (dedicated slot)","2 MP, 1080p@30fps","1080p@30fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","microUSB 2.0 (SlimPort TV-out), USB Host","","4.0, A2DP","FM radio","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 410 h (3G)","Non-removable Li-Po 2400 mAh battery","","<a href=""#"">9/10</a>","Titanium Black, Platinum White","","","","","","","","","","","","","","","","","","Asus","16","2","30","1080","143.5","8.9","72.8","145","5.11","2","64","1080","1920","441","13","5.0","66.0"
"PadFone mini","Yes","GSM 850 / 900 / 1800 / 1900","HSPA","HSDPA 850 / 900 / 1900 / 2100","Yes","GSM / HSPA","Available. Released 2014, December","Dual SIM (Micro-SIM, dual stand-by)","","2013, December","129.3 x 65.6 x 8.7 mm (5.09 x 2.58 x 0.34 in)","105 g (3.70 oz)","540 x 960 pixels (~256 ppi pixel density)","Yes","Super IPS LCD capacitive touchscreen, 16M colors","4.3 inches (~60.1% screen-to-body ratio)","Qualcomm MSM8226 Snapdragon 400","Android 4.3 (Jelly Bean)","Quad-core 1.4 GHz Cortex-A7","Adreno 305","16 GB, 1 GB RAM","microSD, up to 64 GB (dedicated slot)","2 MP","Yes","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","To be confirmed","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML5","Up to 114 h (2G) / Up to 114 h (3G)","Removable Li-Po 1500 mAh battery","","<a href=""#"">6/10</a>","Titanium Black, Platinum White, Soft Pink","","","","","","","","","0.47 W/kg (head)     0.40 W/kg (body)    ","","","","","","","","","Asus","1","1","","","129.3","8.7","65.6","105","3.70","2","64","540","960","256","8","4.3","60.1"
"PadFone mini (Intel)","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/5.76 Mbps","HSDPA 850 / 900 / 1900 / 2100","Yes","GSM / HSPA","Available. Released 2014, June","Dual SIM (Micro-SIM, dual stand-by)","","2014, January","124.4 x 61.4 x 6.3-11.2 mm","116 g (4.09 oz)","480 x 800 pixels (~233 ppi pixel density)","Yes","IPS+ LCD capacitive touchscreen, 16M colors","4.0 inches (~59.6% screen-to-body ratio)","Intel Atom Z2560","Android 4.3 (Jelly Bean), planned upgrade to 4.4.2 (KitKat)","Dual-core 1.6 GHz","PowerVR SGX544MP2","8 GB, 1 GB RAM","microSD, up to 64 GB (dedicated slot)","2 MP","Yes","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP, EDR","To be confirmed","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity","No","HTML5","","","","<a href=""#"">5/10</a>","Black, White, Red, Blue, Yellow","","","","","","","","","","","","","","","","","","Asus","","","","","","","","116","4.09","2","64","480","800","233","8","4.0","59.6"
"PadFone S","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","GSM 850 / 900 / 1800 / 1900","LTE 800 / 900 / 1700/2100 / 1800 / 1900 / 2100 / 2600","HSDPA 900 / 1900 / 2100","Yes","GSM / HSPA / LTE","Available. Released 2014, July","Micro-SIM","LTE 700 / 900 / 1700/2100 / 1800 / 1900 / 2100 / 2600","2014, March","143.4 x 72.5 x 10 mm (5.65 x 2.85 x 0.39 in)","150 g (5.29 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes, up to 10 fingers","Super IPS+ LCD capacitive touchscreen, 16M colors","5.0 inches (~66.3% screen-to-body ratio)","Qualcomm MSM8974AB Snapdragon 801","Android 4.4.2 (KitKat), planned upgrade to 6.0 (Marshmallow)","Quad-core 2.3 GHz Krait 400","Adreno 330","16 GB, 2 GB RAM","microSD, up to 64 GB (dedicated slot)","2 MP, , f/2.0, 1080p@30fps","2160p@12-25fps, 1080p@30fps, 720p@60fps","13 MP, f/2.0, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","microUSB 2.0 (SlimPort TV-out), USB Host","","4.0, A2DP","No","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 417 h (2G) / Up to 528 h (3G)","Non-removable Li-Po 2300 mAh battery","","<a href=""#"">5/10</a>","Titanium Black, Platinum White, Dark Ruby","","","","","","","","","","","Corning Gorilla Glass","","Yes","","","","","Asus","1","2","","","143.4","10","72.5","150","5.29","2","64","1080","1920","441","13","5.0","66.3"
"PadFone X","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","HSDPA 850 / 900 / 1900 / 2100","Yes","GSM / HSPA / LTE","Available. Released 2014, July","Micro-SIM","LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700)","2014, March","143.4 x 72.5 x 10 mm (5.65 x 2.85 x 0.39 in)","150 g (5.29 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes, up to 10 fingers","Super IPS+ LCD capacitive touchscreen, 16M colors","5.0 inches (~66.3% screen-to-body ratio)","Qualcomm Snapdragon 800","Android 4.4.2 (KitKat)","Quad-core 2.3 GHz Krait 400","Adreno 330","16 GB, 2 GB RAM","microSD, up to 64 GB (dedicated slot)","2 MP, 1080p@25fps","2160p@25fps, 1080p@25fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","microUSB 2.0 (SlimPort TV-out), USB Host","","4.0, A2DP","No","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 456 h (3G)","Non-removable Li-Po 2300 mAh battery","","<a href=""#"">7/10</a>","Titanium Black, Platinum White","","","","","","","","","","","Corning Gorilla Glass","","Yes","","","","","Asus","1","2","25","2160","143.4","10","72.5","150","5.29","2","64","1080","1920","441","13","5.0","66.3"
"Transformer Book Trio","No","N/A","","","No","No cellular connectivity","Available. Released 2013, September","No","","2013, September","304.8 x 193 x 9.7 mm (12.00 x 7.60 x 0.38 in)","-","1080 x 1920 pixels (~190 ppi pixel density)","Yes, up to 10 fingers","IPS LCD capacitive touchscreen, 16M colors","11.6 inches (~63.1% screen-to-body ratio)","Intel Atom","Android 4.2 (Jelly Bean)","","","16/32/64 GB, 2 GB RAM","microSD, up to 64 GB (dedicated slot)","1.2 MP, 720p","1080p@30fps","5 MP, autofocus","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","3.0","No","No","Email, Push Email, IM","Accelerometer, gyro, compass","No","HTML5","","","","","Black","","","","","","","","","","","","","","","","","","Asus","16","2","30","1080","304.8","9.7","193","","","1","64","1080","1920","190","5","11.6","63.1"
"Transformer Pad Infinity 700 3G","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA","Yes","GSM / HSPA","Available. Released 2012, Q3","Mini-SIM","","2012, February","263 x 180.8 x 8.5 mm (10.35 x 7.12 x 0.33 in)","598 g (1.32 lb)","1920 x 1200 pixels (~224 ppi pixel density)","Yes","Super IPS+ LCD, capacitive touchscreen, 16M colors","10.1 inches (~62.2% screen-to-body ratio)","Qualcomm MSM8260A Snapdragon S4 Plus","Android 4.0 (Ice Cream Sandwich)","Dual-core 1.5 GHz Krait","Adreno 225","32/64 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","2.0","","3.0, A2DP","No","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, gyro, compass","No","HTML5, Adobe Flash","Non-removable Li-Po battery (25 Wh)","","","<a href=""#"">8/10</a>","Amethyst Gray, Champagne Gold","","","","","","","","","","","Corning Gorilla Glass 2","","","","","","","Asus","32","1","30","1080","263","8.5","180.8","","","2","32","1920","1200","224","8","10.1","62.2"
"Transformer Pad Infinity 700","No","N/A","","","No","No cellular connectivity","Available. Released 2012, July","No","","2012, February","263 x 180.8 x 8.5 mm (10.35 x 7.12 x 0.33 in)","598 g (1.32 lb)","1920 x 1200 pixels (~224 ppi pixel density)","Yes","Super IPS+ LCD, capacitive touchscreen, 16M colors","10.1 inches (~62.2% screen-to-body ratio)","Nvidia Tegra 3 T33","Android 4.0 (Ice Cream Sandwich), upgradable to 4.2.1 (Jelly Bean)","Quad-core 1.6 GHz Cortex-A9","ULP GeForce","32/64 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","2.0","","3.0, A2DP, EDR","No","Yes","Email, Push Mail, IM","Accelerometer, gyro, compass","No","HTML5, Adobe Flash","Non-removable Li-Po battery (25 Wh)","","","<a href=""#"">7/10</a>","Amethyst Gray, Champagne Gold","","","","","","","","","","","Corning Gorilla Glass 2","","","","","","","Asus","32","1","30","1080","263","8.5","180.8","","","2","32","1920","1200","224","8","10.1","62.2"
"Transformer Pad Infinity 700 LTE","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA / LTE","Available. Released 2012, Q4","Mini-SIM","LTE","2012, February","262.9 x 180.8 x 8.4 mm (10.35 x 7.12 x 0.33 in)","625 g (1.38 lb)","1920 x 1200 pixels (~224 ppi pixel density)","Yes","Super IPS+ LCD, capacitive touchscreen, 16M colors","10.1 inches (~62.2% screen-to-body ratio)","Qualcomm MSM8960 Snapdragon S4 Plus","Android 4.0 (Ice Cream Sandwich), upgradable to 4.2.1 (Jelly Bean)","Dual-core 1.5 GHz Krait","Adreno 225","32/64 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging","Yes, with stereo speakers","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","2.0","","3.0, A2DP, EDR","No","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, gyro, compass","No","HTML5","Non-removable Li-Po battery (25 Wh)","","","<a href=""#"">8/10</a>","Amethyst Gray, Champagne Gold","","","","","","","","","","","Corning Gorilla Glass 2","","","","","","","Asus","32","1","30","1080","262.9","8.4","180.8","","","2","32","1920","1200","224","8","10.1","62.2"
"Transformer Pad TF103C","No","N/A","","","No","No cellular connectivity","Available. Released 2014, June","No","","2014, June","257.5 x 178.4 x 9.9 mm (10.14 x 7.02 x 0.39 in)","550 g (1.21 lb)","800 x 1280 pixels (~149 ppi pixel density)","Yes, up to 10 fingers","IPS LCD capacitive touchscreen, 16M colors","10.1 inches (~64.4% screen-to-body ratio)","Intel Atom Z3745","Android 4.4.2 (KitKat)","Quad-core 1.86 GHz","Intel Gen 7 (Ivy Bridge)","8/16 GB, 1 GB RAM","microSD, up to 64 GB (dedicated slot)","VGA","Yes","2 MP","Geo-tagging","Yes, with stereo speakers","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n, dual-band","microUSB 2.0, USB Host","","4.0, A2DP","No","Yes, with GLONASS","Email, Push Mail, IM","Accelerometer, compass","No","HTML","Non-removable Li-Po battery (19 Wh)","","","<a href=""#"">5/10</a>","Black, White","","","","","","","","","","","","","","","","","","Asus","8","1","","","257.5","9.9","178.4","","","","64","800","1280","149","2","10.1","64.4"
